Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	2337.79907321818	0.02	0.258076158987751	0.0706355740641785	0.943687797103363	0.983785595802328
SACI_RS00010	344.011382240724	0.14	0.244225273881451	0.564411142657031	0.572474357359946	0.816355748424813
SACI_RS00015	5480.24519330658	-0.08	0.140401969644549	-0.593022478924922	0.55316610860969	0.81256629265442
SACI_RS00020	128.719392751467	0.12	0.203382158817625	0.581706054446262	0.560764692696331	0.81256629265442
SACI_RS00025	1096.43551878529	-0.28	0.0940305484599931	-3.02754519575742	0.00246548842720958	0.0499347736640072
SACI_RS00030	183.063712194577	-0.25	0.202762221545246	-1.2131520172275	0.225071705397115	0.549485404900543
SACI_RS11965	239.185042152751	0.18	0.289233575086376	0.60894976334881	0.542557737929323	0.807967592901961
SACI_RS00035	401.929582330919	0.29	0.155646676015144	1.83440934055823	0.06659325413322	0.296262268836838
SACI_RS00040	464.197942480944	0.01	0.166049472300813	0.0356682618935725	0.971546877780787	0.990452647590857
SACI_RS00045	1396.08697900936	-0.14	0.177442588771746	-0.775792541167175	0.437871488687285	0.734130953293026
SACI_RS00050	113.974195116508	-0.28	0.210771486320761	-1.30475997584215	0.191974591781516	0.506077700462337
SACI_RS00055	673.445826787138	-0.04	0.140660937575849	-0.310170419587884	0.756431363742454	0.911647483597153
SACI_RS00060	207.265129736488	-0.48	0.184322346611194	-2.58960903262152	0.00960849893247174	0.112842940069502
SACI_RS00065	202.322776228806	-0.39	0.177936598509531	-2.17284110736513	0.0297922782147361	0.198989933736162
SACI_RS00070	491.56992351645	0.25	0.159683595450082	1.56630750092039	0.117276645817847	0.397010284612875
SACI_RS00075	165.230870137534	0.20	0.178031838396472	1.09931242910117	0.271631812821537	0.59199967649232
SACI_RS00080	269.289853506432	-0.15	0.168308831285128	-0.887011800941154	0.375072547031755	0.689435413446756
SACI_RS00085	865.384897617083	-0.16	0.135725567537963	-1.19889873907004	0.230567322117342	0.55469192665708
SACI_RS00090	717.708217844961	-0.22	0.124708600436903	-1.79826849986492	0.0721344690112303	0.310868198625789
SACI_RS00095	467.835314821487	0.05	0.138343573124732	0.338170203099251	0.735234928950866	0.906875138845319
SACI_RS00100	83.1354760963448	0.01	0.225018000252521	0.0650501005381968	0.948134110232189	0.985278860463365
nadA	1136.5246668017	0.67	0.258071993670352	2.61507757055942	0.00892071930689128	0.106790060108583
SACI_RS00110	1231.35053490159	0.13	0.119926835134137	1.1210468212241	0.262267932961787	0.584442390179235
SACI_RS00115	1182.11638426997	0.15	0.101555757174068	1.47533687782433	0.140121996516255	0.43337244476536
SACI_RS00120	122.341166899158	0.23	0.204163384286765	1.12030077393346	0.262585612382548	0.584624570964919
SACI_RS00125	869.399603455567	0.28	0.11186251869215	2.53564376732437	0.0112240846229783	0.126192562542174
SACI_RS00130	221.81949181405	0.05	0.197282036889957	0.267492812228124	0.789089747627044	0.924675700190171
SACI_RS00135	4582.61266660818	0.30	0.0940030150708377	3.19824259892437	0.00138267907617441	0.0353224613480431
SACI_RS00140	599.459266458724	0.43	0.171587767436659	2.52733574455685	0.0114931571431438	0.127254274092179
SACI_RS11510	726.022180357939	-0.16	0.124046822377628	-1.29804785910128	0.194270889717581	0.507030784824555
SACI_RS00145	190.239757754879	0.20	0.16269513753101	1.19910841370042	0.230485792952251	0.55469192665708
SACI_RS11515	80.1947353796453	0.14	0.270841070546981	0.499213921615328	0.617628688069897	0.844830246393207
SACI_RS00150	90.2127728767832	0.11	0.246886882461962	0.451565282054607	0.651582185672567	0.863895482127673
SACI_RS00155	1613.11832502153	-0.22	0.115571554275227	-1.9094538815394	0.0562035656633332	0.280791201035765
SACI_RS00160	229.213297273159	-0.05	0.195954212448563	-0.253668477178317	0.799751689189471	0.928236386796959
SACI_RS00165	886.90258113639	-0.06	0.110668727715341	-0.522658178094059	0.601212146813871	0.834623921459257
SACI_RS00170	97.5352478470398	-0.02	0.235827706066535	-0.0944818926330362	0.924726365680872	0.974265278128061
SACI_RS00175	386.949530542852	0.01	0.168818925401592	0.0727369890927156	0.942015413453928	0.982624674231691
trxA	674.908762062945	0.65	0.165941311704473	3.92681225418941	8.6079119624863e-05	0.00600220934299614
SACI_RS00185	145.853946688177	0.09	0.204644240775262	0.460395119177298	0.645232637407085	0.860413281786129
SACI_RS00190	311.83517747119	0.06	0.161100682547934	0.362036530335338	0.717324732178646	0.895420503353513
SACI_RS00195	1593.58679900004	0.74	0.191207785617561	3.86142987614276	0.000112725367403114	0.00698333651062294
SACI_RS00200	423.603348197907	-0.29	0.158830646788473	-1.81993791964699	0.0687684594285007	0.30214227387203
SACI_RS00205	14677.5686056703	0.43	0.136709612676759	3.14767700791023	0.00164573430807231	0.0395934914116814
SACI_RS00210	221.790199092463	-0.17	0.175779464960217	-0.943702118912913	0.345321890922513	0.665432976165532
SACI_RS00215	1867.67448725755	-0.07	0.114177860151836	-0.655952769817495	0.51185451348057	0.789859787759282
SACI_RS00220	363.268849254762	0.01	0.177304588670737	0.0803726673691321	0.935940864841916	0.980660238088063
SACI_RS00225	730.96115082445	0.60	0.166235326667581	3.58679380633182	0.000334768829988037	0.0154226681404902
SACI_RS00230	5558.48442186209	0.66	0.186560130221851	3.5581709880963	0.0003734461896765	0.0163773666597819
SACI_RS00235	2574.3309450458	0.47	0.196834683624125	2.38144496212567	0.0172448675049426	0.155318730980352
SACI_RS00240	4209.78767593423	0.31	0.141769533138124	2.20340476666204	0.0275662325355349	0.191074697851741
SACI_RS00245	14951.8481386096	0.05	0.183502941899489	0.259723538555822	0.795077034420746	0.926047345185469
SACI_RS00250	883.063951122702	0.03	0.169878635256296	0.181035029475393	0.856340080720888	0.950578282419537
SACI_RS00255	624.672014607473	0.17	0.132029931879384	1.31632769278243	0.188064079933078	0.503246203404993
SACI_RS00260	984.798366708629	-0.24	0.142611317625446	-1.67954604707652	0.0930456725535211	0.355813544116706
SACI_RS00265	1986.36234191904	0.13	0.133201892839228	0.997790390106097	0.318381011067847	0.637791548444725
SACI_RS00270	241.915446384457	-0.07	0.190007943514156	-0.368589945569242	0.712433390981607	0.893025352047736
