Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	468.168689227569	0.21	0.52783771645274	0.404307713939145	0.685986453683555	0.856989544064062
SACI_RS00010	63.3223552647603	-0.34	0.567352883433947	-0.607576068449656	0.543468677084059	0.778359044391501
SACI_RS00015	12453.5485697674	-0.75	0.329048685681668	-2.2783120058731	0.0227079948567232	0.114801529553434
SACI_RS00020	249.48994087617	-0.41	0.318005610961852	-1.27820976376719	0.201175474389948	0.449621641121307
SACI_RS00025	1260.55686285285	-0.55	0.218474176468532	-2.52008828547704	0.0117325403024644	0.0737356283759328
SACI_RS00030	329.223358222713	-1.64	0.793197982058093	-2.06203204158186	0.0392046855275373	0.16238117565614
SACI_RS11965	179.735149618192	-0.60	0.468927279961849	-1.27013193075758	0.204037639337754	0.454447469434088
SACI_RS00035	404.718125314663	0.37	0.203519435222555	1.8338632833669	0.0666742910154811	0.232402316699652
SACI_RS00040	430.987299495675	-0.02	0.225754010660262	-0.0743310567553986	0.940746965659805	0.980449955292817
SACI_RS00045	1230.53942180845	-0.69	0.225398471391161	-3.06569115689196	0.00217167507958182	0.023347797902002
SACI_RS00050	88.2839744226457	0.23	0.334217998557419	0.701173600977664	0.483194682544628	0.731104543422632
SACI_RS00055	668.466191331748	-0.12	0.307397062009055	-0.382694958348756	0.701945953064354	0.864200629237172
SACI_RS00060	277.042067235515	0.22	0.250626175784381	0.878221008945853	0.379823792968588	0.639409381893708
SACI_RS00065	173.870015165131	-0.28	0.368674477860521	-0.749250184856557	0.453706426528719	0.703617757026888
SACI_RS00070	326.00465998238	0.04	0.329756307792718	0.128883066796335	0.897450175649175	0.957982005678298
SACI_RS00075	182.955004898837	0.10	0.279483698317209	0.373680606752074	0.708641955356714	0.866601695589642
SACI_RS00080	209.403119005928	-0.75	0.458601809173524	-1.64524904660406	0.0999184628030276	0.297073796058476
SACI_RS00085	753.547115173251	-0.66	0.329202906149621	-2.0098430099933	0.0444478070604217	0.174960516499433
