Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	468.168689227569	-0.49	0.395163404978536	-1.25219677072155	0.210498172429131	0.342665803735439
SACI_RS00010	63.3223552647603	-1.49	0.43683447826502	-3.40820529862461	0.000653916765399655	0.00332422162924895
SACI_RS00015	12453.5485697674	1.33	0.24488439437683	5.44685976859759	5.12668495297157e-08	1.16838803847562e-06
SACI_RS00020	249.48994087617	0.73	0.228469641730617	3.19361762576414	0.00140502084715936	0.00641452167055305
SACI_RS00025	1260.55686285285	0.83	0.159621118482902	5.18082863989344	2.20902359222565e-07	4.00173119976262e-06
SACI_RS00030	329.223358222713	2.21	0.566994556423109	3.90284614921783	9.50681361278312e-05	0.000675630027757822
SACI_RS11965	179.735149618192	1.52	0.329348528457409	4.60044212997787	4.21595136840493e-06	4.77703802053534e-05
SACI_RS00035	404.718125314663	0.08	0.1542859869522	0.514762846773824	0.606718750618078	0.730544179483037
SACI_RS00040	430.987299495675	0.10	0.167918106400927	0.600552240100404	0.548138256509729	0.67851016771638
SACI_RS00045	1230.53942180845	0.95	0.164093855625331	5.80726049075907	6.35032977006239e-09	1.86937832606212e-07
SACI_RS00050	88.2839744226457	0.34	0.249919967295475	1.35995280847555	0.173844858111528	0.29702875998983
SACI_RS00055	668.466191331748	0.49	0.227854467753051	2.15828114299591	0.0309059799234795	0.0791125899128198
SACI_RS00060	277.042067235515	-0.24	0.189906281374813	-1.24165768131421	0.21436289000433	0.347954926566478
SACI_RS00065	173.870015165131	0.89	0.265300220691961	3.34265668217794	0.000829804944169846	0.00407123050733331
SACI_RS00070	326.00465998238	-0.93	0.249326419283902	-3.74444755840492	0.000180791132184644	0.00113536831011957
SACI_RS00075	182.955004898837	-0.75	0.215242639138794	-3.49182661655961	0.000479729542101673	0.00258724367553307
SACI_RS00080	209.403119005928	0.52	0.331642377435079	1.57948169468422	0.114225611978547	0.215057681180129
SACI_RS00085	753.547115173251	0.70	0.241634444361566	2.87994513435707	0.00397744380966428	0.0152306994662754
SACI_RS00090	347.318778690993	0.59	0.17264052520787	3.43071126888377	0.000602000989012328	0.00312156843109879
SACI_RS00095	457.949905534195	-0.85	0.185106089345386	-4.5912239475161	4.4065419690386e-06	4.941622065279e-05
SACI_RS00100	28.2622806828564	0.20	0.356367226128171	0.5660327413104	0.571371523463216	0.699608286528184
nadA	1170.45746617164	-2.85	0.635178829891584	-4.48023388312317	7.45612907745664e-06	7.71832262743314e-05
SACI_RS00110	2356.54284277549	0.37	0.142367615424993	2.5661895846953	0.0102822611793614	0.0323942810399948
SACI_RS00115	1842.42052521868	0.72	0.164887282411149	4.35420606169338	1.3355004121152e-05	0.000123030143406152
SACI_RS00120	188.842554361665	0.43	0.1563328987941	2.7596764821563	0.00578586268030936	0.0205154930170066
SACI_RS00125	624.543179442781	0.34	0.119792587013436	2.81758151610494	0.00483868303257357	0.0177385329644921
SACI_RS00130	156.476268058044	0.23	0.238992594942977	0.948451675385667	0.34289956297251	0.49239540902455
SACI_RS00135	1447.84633780519	-1.23	0.235425998028461	-5.21585430726064	1.82971952818289e-07	3.35765414717198e-06
SACI_RS00140	324.111819277727	0.28	0.235294220292681	1.2024392131851	0.229193404090391	0.364401200545203
SACI_RS11510	396.735650168459	0.04	0.134639293166987	0.325619085544734	0.744712570361249	0.840478324217608
SACI_RS00145	74.4654673375098	0.37	0.298590525894959	1.22744080347507	0.219656958193729	0.353100434502548
SACI_RS11515	24.3957235630814	-0.30	0.375173226730411	-0.808924807552014	0.418558398527636	0.564334939999571
SACI_RS00150	113.628896073786	0.09	0.239119448516172	0.384852175430081	0.700346940311358	0.805520532631615
SACI_RS00155	482.191973746233	0.97	0.183962879936468	5.28396445881506	1.26417787475759e-07	2.44696347538695e-06
SACI_RS00160	394.823725028823	0.18	0.190623438652748	0.945211113906622	0.344551106576093	0.493013380852679
SACI_RS00165	1996.93749791646	-0.62	0.237348213718262	-2.6243634689822	0.00868110893812719	0.0283616345192456
SACI_RS00170	193.427530109173	-1.17	0.329029559650112	-3.56158340246477	0.00036862497051673	0.00205695359818254
SACI_RS00175	791.660557960512	0.86	0.244726236243247	3.51926066154984	0.000432751300192726	0.00237006816733458
trxA	502.905292192285	0.07	0.196243821609523	0.34713563805538	0.728489420946739	0.828455172473032
SACI_RS00185	234.530873881454	-1.16	0.255460428582191	-4.53519878679224	5.75492562714469e-06	6.23119533421874e-05
SACI_RS00190	290.718340944265	0.24	0.182019023147019	1.34583510360892	0.178355701718425	0.301997131849172
SACI_RS00195	864.550251648356	3.26	0.59477999981319	5.48213542155523	4.20222357958504e-08	9.78689734268084e-07
SACI_RS00200	592.933613865219	0.11	0.138836615686123	0.789743462308991	0.429677603459002	0.574393995920123
SACI_RS00205	7579.06796187985	0.30	0.270654213731738	1.11118314675247	0.266489523991855	0.409070828246052
SACI_RS00210	87.8251490264537	0.99	0.422096283532255	2.34394943553234	0.0190807580100444	0.0542975105070917
SACI_RS00215	1350.13262341919	0.20	0.151168427100155	1.34673013306603	0.178067163698828	0.301689331302691
SACI_RS00220	525.298202611742	1.03	0.411975560394353	2.51025724839162	0.0120643238468365	0.0369380056242254
SACI_RS00225	618.162315092113	0.49	0.289267929786901	1.69419048335357	0.0902290926372673	0.17761919837949
SACI_RS00230	781.888922493656	0.07	0.338172893596107	0.211873397946339	0.832205804804523	0.900257985389186
SACI_RS00235	1055.19191058408	0.18	0.249876423462587	0.716316106487577	0.473796183669228	0.614196337178549
SACI_RS00240	2512.84152803854	0.09	0.222709101496614	0.423952434914591	0.671600502535063	0.782979793797066
SACI_RS00245	14535.7821158324	-0.04	0.34242072037925	-0.117440829471998	0.906510730675131	0.950435365106926
SACI_RS00250	444.979553536834	0.89	0.255283123340824	3.4679333539644	0.000524477344325846	0.00277918603253292
SACI_RS00255	430.030559071992	-0.15	0.189604098114909	-0.770984759445347	0.440715965220645	0.584724562306828
SACI_RS00260	2481.00530469041	-0.46	0.276105112893785	-1.65329984821129	0.0982698538784704	0.190866396605194
SACI_RS00265	2215.09995332082	-0.20	0.200400295677016	-0.9814743226628	0.326358890757369	0.477623109932846
SACI_RS00270	276.239147290746	0.98	0.224399677275197	4.35188392521754	1.34972718272918e-05	0.000123441068556397
meaB	242.200639330816	0.23	0.231074360262195	1.00573515062	0.314542989607449	0.465148345698928
SACI_RS00280	147.666801787706	-0.04	0.220357295595653	-0.20133487791404	0.840436732267829	0.904626815568918
SACI_RS00285	0.706279620530141	2.11	3.36724121955531	0.625443226027513	0.531680199430125	NA
SACI_RS00290	5400.52019572297	0.04	0.401939185882045	0.0969474855664215	0.92276809835468	0.959348348245977
SACI_RS00295	70.9394564349019	-0.43	0.345106111212164	-1.23948660648617	0.215165345797805	0.348466057071931
SACI_RS00300	32.9742636724021	1.36	0.57939538893789	2.34386415793278	0.0190851210581729	0.0542975105070917
lysS	4808.55322268031	0.56	0.266094223904411	2.09454593887337	0.0362113752664898	0.088218402157845
SACI_RS00310	1049.61668450472	0.51	0.154474009828979	3.33176207976543	0.000862980001452407	0.00421205783092315
SACI_RS00315	144.779512340932	0.96	0.184038049062924	5.23800101749207	1.62325167994738e-07	3.05820616502086e-06
SACI_RS00320	134.819757065132	0.19	0.210925381149796	0.91250042534811	0.361505345725219	0.511417155953304
SACI_RS00325	311.299982358879	-0.27	0.16896525323532	-1.62046371461865	0.105132702783353	0.202249842114197
SACI_RS00330	168.542847240591	-0.31	0.158719630292491	-1.97706761268305	0.0480339880918822	0.109471008344886
rimI	1439.95834076715	0.68	0.186096230333342	3.66429778518028	0.000248018096955983	0.00146631619664772
SACI_RS00340	1186.71660808931	0.44	0.131613012185645	3.34502824165763	0.000822741923236177	0.00405771147480879
dnaG	5389.8127856451	0.64	0.190036894884691	3.36533857279394	0.000764497866994373	0.0037969612866891
SACI_RS00350	1804.65423395678	-0.26	0.121805505691092	-2.11989457142938	0.0340149373137043	0.0843857670844955
SACI_RS00355	1129.76876277228	1.06	0.240050635571009	4.43179222695279	9.34530479557782e-06	9.04676064081872e-05
SACI_RS00360	289.521508402889	0.89	0.248081273406172	3.5860107420714	0.000335775132844327	0.00190542274180335
SACI_RS00365	92.8107373572309	0.57	0.245471084207016	2.32961403146682	0.0198265598770021	0.0559180221680717
SACI_RS00370	543.061678803214	-0.55	0.237212668347386	-2.33214811799181	0.0196929004403716	0.0556521366444901
SACI_RS00375	599.099200500796	-0.81	0.238426398252379	-3.38848454018767	0.000702799906166478	0.00353941189914302
SACI_RS00380	755.636725226349	-0.52	0.235913934139839	-2.20289171030361	0.0276023820424621	0.072226233011109
SACI_RS00385	1258.93482282447	-0.33	0.233222255594203	-1.40677189558526	0.159495038825571	0.278574153103253
SACI_RS00390	613.839080992461	-0.82	0.251563445204649	-3.2521683324893	0.00114528172198165	0.00541231797043502
SACI_RS00395	1147.45462139526	-0.66	0.211035003509479	-3.13179565193767	0.00173740756885233	0.00771999023518348
SACI_RS00400	1324.52995875071	-0.50	0.169679674611094	-2.92497638595098	0.00344482362545988	0.0136345540133748
SACI_RS00405	461.554640068221	-0.60	0.207471981619298	-2.87595092038546	0.00402812339381593	0.015362316748885
rpsB	3120.16327405029	-0.35	0.157084077440812	-2.24188491722374	0.0249688110891631	0.0668832797516349
amrB	2129.39487629671	0.17	0.208737257830635	0.813432203013182	0.415970302301094	0.561917817544403
SACI_RS00420	430.339854597327	0.53	0.25416226982825	2.10489330291495	0.0353005967962331	0.0866557622510035
fni	758.033267126109	-0.43	0.136580384512844	-3.12989797983941	0.00174867022264761	0.00775783681193429
SACI_RS00430	1384.80892018535	-0.94	0.261270960621279	-3.58154132934626	0.000341573088981854	0.00193057109892544
SACI_RS00435	658.092537790772	-0.36	0.295953894015686	-1.23037825834173	0.218555491083188	0.351729964579207
SACI_RS00440	332.963631738944	-0.38	0.220488547595432	-1.72390511494103	0.0847249738031906	0.167787509437853
ffs	5607.55438123303	1.52	0.316350687081307	4.81066489702296	1.50429039521057e-06	1.9500571820482e-05
SACI_RS00450	2.16886369734004	-1.30	1.22168340144603	-1.06302636195566	0.287769996547298	0.432803624397373
SACI_RS00455	16873.9864144599	-1.46	0.518112679577649	-2.81752772659276	0.00483949360071599	0.0177385329644921
SACI_RS00460	9074.27189185904	-1.00	0.504110952168887	-1.98250398555578	0.0474228617580455	0.108574574872232
SACI_RS00465	1712.83501611488	-0.48	0.501270156046174	-0.955870748600691	0.339137539041518	0.489230569337074
SACI_RS00470	428.590574647341	0.01	0.191970332214167	0.0748643013133271	0.940322680243455	0.96736508713797
SACI_RS00475	154.408037812297	0.61	0.352261112765807	1.74485246798496	0.0810105530108182	0.162990057573738
SACI_RS00480	2403.60748892495	0.08	0.195228797211184	0.389750256925926	0.696721229776806	0.803095490060649
