Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SACI_RS00005	468.168689227569	-0.14	0.350494378937324	-0.395843177269832	0.692220722104348	0.770402327932051
SACI_RS00010	63.3223552647603	0.40	0.380080679125393	1.04904868334591	0.294155712622663	0.397525837705649
SACI_RS00015	12453.5485697674	-2.01	0.218954954672108	-9.1595167540169	5.213023389438e-20	9.03895576004892e-19
SACI_RS00020	249.48994087617	-1.48	0.20173644458213	-7.34944356715598	1.99033662398511e-13	1.84417127816121e-12
SACI_RS00025	1260.55686285285	-0.89	0.141130392251312	-6.33352418751868	2.39623721811198e-10	1.54789615505491e-09
SACI_RS00030	329.223358222713	-1.79	0.513160895279672	-3.48123091969685	0.000499114989453542	0.00132249860923124
SACI_RS11965	179.735149618192	-2.67	0.291649708509715	-9.14751420684129	5.8258631212887e-20	1.00428396247797e-18
SACI_RS00035	404.718125314663	0.35	0.133824773748668	2.57955244493225	0.00989284355872274	0.0202571002428266
SACI_RS00040	430.987299495675	0.04	0.146755565266543	0.294563898238287	0.768327044105086	0.829300941307456
SACI_RS00045	1230.53942180845	-0.63	0.145721283456776	-4.32398786073654	1.53233731745518e-05	5.15122465561746e-05
SACI_RS00050	88.2839744226457	0.02	0.210613158962914	0.117004280528653	0.906856661411672	0.934595064680433
SACI_RS00055	668.466191331748	0.26	0.203388328063461	1.25602819932655	0.209105746257652	0.298076220025932
SACI_RS00060	277.042067235515	1.51	0.175135198936131	8.60954286464879	7.33524926809361e-18	1.00225871335933e-16
SACI_RS00065	173.870015165131	-0.65	0.235785015709964	-2.77572942177717	0.00550780248817442	0.0119027947357414
SACI_RS00070	326.00465998238	1.13	0.222469399090845	5.08168604584743	3.7409935933739e-07	1.59368477074046e-06
SACI_RS00075	182.955004898837	1.21	0.191114417801114	6.30793516600433	2.82782616881469e-10	1.79539712859434e-09
SACI_RS00080	209.403119005928	-0.12	0.294395543307337	-0.400366517431524	0.688886581721198	0.768164240241952
SACI_RS00085	753.547115173251	-0.94	0.215522551934208	-4.34151518824324	1.41503494945496e-05	4.79494700015309e-05
SACI_RS00090	347.318778690993	-0.74	0.152032890698907	-4.89174757113096	9.99445752174866e-07	4.01538842167815e-06
SACI_RS00095	457.949905534195	0.67	0.167353810690872	3.9757017242687	7.01720327111366e-05	0.00021144316767126
SACI_RS00100	28.2622806828564	-0.41	0.309313082447507	-1.3186986086522	0.187269892122151	0.272986838811297
nadA	1170.45746617164	0.83	0.561838245138761	1.47904857718579	0.139127332260856	0.211219938634633
SACI_RS00110	2356.54284277549	0.62	0.126744879445488	4.89647760158468	9.75697635280647e-07	3.93062973995532e-06
SACI_RS00115	1842.42052521868	-0.31	0.146933932577078	-2.1198135137187	0.0340217752053548	0.0615088801730957
SACI_RS00120	188.842554361665	0.34	0.134699656826264	2.55149477948239	0.0107261931040269	0.0218428314240657
SACI_RS00125	624.543179442781	0.62	0.105098690158572	5.92250185882999	3.17080221042901e-09	1.81494759728224e-08
SACI_RS00130	156.476268058044	1.16	0.207684322524013	5.59177747108807	2.24756760202692e-08	1.14110238698798e-07
SACI_RS00135	1447.84633780519	1.13	0.210696714779587	5.3771108386921	7.56905813665187e-08	3.55099009100835e-07
SACI_RS00140	324.111819277727	0.93	0.211566194487037	4.4185150479862	9.9381361854138e-06	3.44235675113924e-05
SACI_RS11510	396.735650168459	0.10	0.120495733365233	0.839139130149776	0.401391240092241	0.506220768555293
SACI_RS00145	74.4654673375098	-0.20	0.262638714426425	-0.743019610171303	0.457469807926056	0.562820738796994
SACI_RS11515	24.3957235630814	0.23	0.352382291734755	0.642028530192819	0.520854658754878	0.620463665411094
SACI_RS00150	113.628896073786	-1.45	0.21737299066977	-6.64917346013056	2.94743475925319e-11	2.12115147116158e-10
SACI_RS00155	482.191973746233	-1.31	0.160079153282544	-8.15768370863332	3.4151040275833e-16	4.01816803245415e-15
SACI_RS00160	394.823725028823	1.06	0.169535465039367	6.22852718123051	4.7084040954859e-10	2.88438391386688e-09
SACI_RS00165	1996.93749791646	0.70	0.21278334260043	3.2752981835141	0.00105550500090594	0.00261015206646049
SACI_RS00170	193.427530109173	2.27	0.299656301565221	7.56742186814979	3.80704005417263e-14	3.73770654325227e-13
SACI_RS00175	791.660557960512	1.28	0.218417393205928	5.87651322264694	4.18997953628328e-09	2.36634082382475e-08
trxA	502.905292192285	1.63	0.176534036260042	9.22452740831999	2.84814063577321e-20	5.02662915777832e-19
SACI_RS00185	234.530873881454	1.04	0.230774499259128	4.48713704993786	7.21866420199404e-06	2.55714926629777e-05
SACI_RS00190	290.718340944265	-0.79	0.164581930003476	-4.78752860824798	1.68847674760563e-06	6.56138080819227e-06
SACI_RS00195	864.550251648356	-3.80	0.528504630935097	-7.1887275670193	6.5397915408095e-13	5.636767999564e-12
SACI_RS00200	592.933613865219	0.39	0.123619777283626	3.12806779768688	0.00175959587764198	0.00414721921876667
SACI_RS00205	7579.06796187985	-0.63	0.242017584557693	-2.58476908106977	0.00974442356863392	0.0199807855331947
SACI_RS00210	87.8251490264537	-0.38	0.347120395222103	-1.09866993346842	0.271912061644539	0.371529614182515
SACI_RS00215	1350.13262341919	-0.27	0.133895041032291	-2.00238208864114	0.0452436533576345	0.0792833523672496
SACI_RS00220	525.298202611742	-2.07	0.369299217451962	-5.60640462863963	2.06572717111804e-08	1.05601397626983e-07
SACI_RS00225	618.162315092113	0.05	0.257931434611993	0.192064233624025	0.847691890724438	0.891278885105659
SACI_RS00230	781.888922493656	-0.17	0.301982504105421	-0.569783844348509	0.568824314397239	0.664263132015681
SACI_RS00235	1055.19191058408	-0.40	0.22320210180292	-1.77381427294973	0.0760938764431414	0.124532570361148
SACI_RS00240	2512.84152803854	-0.65	0.199158013789103	-3.26341505134109	0.00110078178980275	0.00270183609831552
SACI_RS00245	14535.7821158324	0.75	0.306249745218322	2.46188226299971	0.0138210028539911	0.0273742641697285
SACI_RS00250	444.979553536834	0.17	0.224337880996144	0.775904462056457	0.43780539782646	0.541323187888012
SACI_RS00255	430.030559071992	0.25	0.166659875899897	1.50965056053005	0.131132612741526	0.200830680154249
SACI_RS00260	2481.00530469041	0.16	0.246883932735344	0.639188321442128	0.522700428552201	0.621912829316724
