Gene	0	3	9	60	Half_Life
SACI_RS00070	64.74820144	66.54676259	47.9616307	20.38369305	35.87692512
SACI_RS00090	168.2539683	195.2380952	84.12698413	30.15873016	24.33455703
SACI_RS00095	48.38709677	36.16813294	28.83675464	13.19648094	36.43351389
SACI_RS00110	124	194.6666667	153.3333333	70.22222222	50.96732421
SACI_RS00135	253.493014	261.4770459	135.2295409	89.82035928	43.22924191
SACI_RS00155	235.395189	220.790378	153.7800687	105.6701031	57.52363145
SACI_RS00165	129.1810842	113.0334487	53.63321799	34.02537486	35.98135598
SACI_RS00195	89.8989899	83.83838384	48.48484848	31.31313131	44.02579627
SACI_RS00205	394.6162658	515.4639175	317.2966781	103.95189	28.57477083
SACI_RS00255	51.91798942	56.21693122	29.76190476	14.88095238	34.09630566
SACI_RS00260	690.4761905	1050.865801	712.1212121	389.6103896	54.20826991
SACI_RS00265	88.21614583	157.8776042	113.9322917	45.57291667	42.79791066
SACI_RS00290	6368.159204	9256.218905	6990.049751	3288.557214	48.51383895
SACI_RS00360	34.56790123	34.56790123	13.58024691	11.11111111	42.26639177
SACI_RS00370	206.6276803	154.9707602	72.12475634	49.70760234	36.03303745
SACI_RS00375	516.9491525	521.6572505	345.5743879	113.9359699	27.64353583
SACI_RS00380	600.2506266	855.8897243	581.4536341	147.8696742	25.97745868
SACI_RS00385	281.1320755	491.1949686	450.3144654	88.05031447	27.0396971
SACI_RS00390	668.0672269	871.1484594	753.5014006	172.2689076	26.7694411
SACI_RS00395	655.4809843	986.5771812	870.246085	175.6152125	25.92769158
SACI_RS00400	670.263789	1009.592326	815.3477218	215.8273381	29.89789933
SACI_RS00405	97.01492537	216.4179104	116.9154229	49.75124378	39.73331078
rpsB	573.0088496	792.0353982	794.9852507	201.3274336	32.07609442
amrB	185.9649123	353.2163743	428.0701754	144.4444444	59.82332014
SACI_RS00455	176.036343	241.3401476	180.2952868	99.37535491	57.2937353
SACI_RS00480	249.343832	166.6666667	133.8582677	68.24146982	38.78742715
SACI_RS00575	33.11258278	35.3200883	13.24503311	9.933774834	38.33353635
SACI_RS00580	196.1222968	231.5436242	144.6681581	45.48844146	27.14731057
SACI_RS00585	26.80067002	20.93802345	8.37520938	6.700167504	37.66804545
SACI_RS00620	828.6384977	793.8967136	590.1408451	218.3098592	31.71309155
SACI_RS00640	74.00497512	93.90547264	52.86069652	34.82587065	51.52996809
thiC	115.7731158	131.3131313	102.952603	42.73504274	38.87010174
SACI_RS00665	142.8571429	167.8571429	103.5714286	70.83333333	57.24335731
SACI_RS11970	248.2758621	198.8505747	136.7816092	50.57471264	28.54600313
SACI_RS00720	157.980456	186.2106406	143.8653637	49.94571118	33.19570545
cysS	162.4113475	203.5460993	163.8297872	50.35460993	31.5183991
SACI_RS00735	147.5735879	173.4287987	127.6849642	59.66587112	42.38278193
SACI_RS00740	1253.930818	1031.053459	621.0691824	192.6100629	23.90277136
SACI_RS00755	113.4615385	135.2564103	78.20512821	54.48717949	55.14146423
SACI_RS00790	131.8646232	128.6717752	69.60408685	39.59131545	37.36134761
SACI_RS00815	196.4285714	331.8452381	254.4642857	126.4880952	57.85564929
SACI_RS00825	82.41758242	153.8461538	115.3846154	54.94505495	56.40342451
SACI_RS00865	540.4411765	878.0637255	635.4166667	300.245098	49.64664734
SACI_RS00870	414.0127389	705.4140127	582.2717622	260.0849257	54.24983885
SACI_RS00930	65.92039801	88.93034826	53.48258706	32.33830846	51.02459163
SACI_RS00935	162.2807018	149.122807	65.78947368	54.8245614	45.86017254
SACI_RS00940	1299.528302	1720.125786	1274.371069	462.2641509	34.97729012
SACI_RS01070	56.79702048	69.83240223	46.55493482	27.93296089	53.3293496
SACI_RS01090	166.6666667	170.7035755	108.9965398	68.62745098	49.08926643
SACI_RS01100	130.2493438	135.4986877	96.7847769	53.47769029	46.99790484
SACI_RS01125	132.7602674	145.6542502	82.61700096	53.48615091	47.00230885
SACI_RS01160	40.12345679	33.17901235	18.51851852	12.34567901	41.80450982
SACI_RS01180	475.0227066	485.013624	327.4296094	221.1625795	57.08090258
prpB	176.1565836	198.1020166	150.6524318	81.85053381	50.98667571
SACI_RS01195	109.1820988	124.2283951	101.0802469	52.4691358	51.82382498
SACI_RS01200	919.6525516	1032.57329	640.0651466	169.3811075	23.86489987
SACI_RS01205	95.55555556	119.4444444	82.22222222	44.44444444	48.59950731
SACI_RS01230	242.7983539	322.0164609	219.1358025	78.18930041	32.59924277
SACI_RS01235	341.3654618	421.686747	317.2690763	98.3935743	30.30420681
SACI_RS01250	963.9175258	716.4948454	426.1168385	319.5876289	47.99992722
SACI_RS01255	130.404463	212.6917713	183.4030683	62.76150628	40.35294661
SACI_RS01260	81.18872549	116.7279412	144.3014706	45.03676471	46.91174858
SACI_RS01280	60.67044381	101.2747875	54.5325779	23.37110482	35.46324497
SACI_RS01285	22.72727273	15.15151515	10.1010101	5.050505051	33.32726021
SACI_RS01290	75.61728395	83.33333333	35.49382716	10.28806584	21.1582054
SACI_RS01300	97.88359788	93.0335097	52.02821869	37.47795414	48.99177871
SACI_RS01305	15.08295626	13.57466063	8.295625943	5.279034691	44.68955996
SACI_RS01325	81.31487889	145.905421	105.5363322	46.71280277	48.24237123
cas4	48.3234714	87.77120316	52.26824458	22.68244576	40.05859157
SACI_RS01340	83.7585034	102.8911565	64.20068027	20.83333333	28.06311394
queC	41.03671706	34.55723542	22.31821454	14.03887689	44.8589041
SACI_RS01370	20.08032129	39.26818385	19.8572066	8.255243195	35.08751898
SACI_RS01375	94.07665505	105.1103368	65.6213705	22.64808362	28.49670733
SACI_RS01380	54.20054201	77.23577236	60.97560976	17.61517615	30.97174205
SACI_RS01415	393.442623	388.6612022	302.5956284	104.5081967	31.23161389
SACI_RS01420	429.0780142	455.0827423	322.6950355	104.0189125	28.69187036
SACI_RS01425	271.2418301	316.9934641	247.1405229	73.52941176	29.46146279
SACI_RS01450	160.1941748	64.72491909	45.30744337	40.45307443	50.52596931
SACI_RS01460	171.579743	204.0816327	157.5963719	63.49206349	38.06773208
SACI_RS01465	137.3106061	216.8560606	147.7272727	78.59848485	53.62496679
lipA	155.6329849	212.543554	133.5656214	67.36353078	43.13567012
SACI_RS01515	110.9022556	219.2982456	182.3308271	80.20050125	58.60616522
fdhF	94.48416752	114.061968	78.14096016	44.94382022	51.33918207
SACI_RS01645	783.5648148	796.2962963	642.3611111	359.9537037	53.31502889
SACI_RS01675	16.30434783	29.58937198	41.66666667	9.057971014	39.4425078
SACI_RS01680	72.91666667	93.27651515	71.02272727	27.93560606	37.92697843
SACI_RS01685	74.50331126	106.5121413	80.57395143	30.35320088	37.90322682
SACI_RS01690	48.79227053	67.14975845	32.85024155	24.63768116	55.44589899
SACI_RS01715	195.3551913	245.9016393	164.845173	93.80692168	50.69366695
SACI_RS01770	2310.606061	3654.040404	2154.040404	876.2626263	35.33141254
SACI_RS01780	26.31578947	23.39181287	20.8855472	12.11361738	57.74119573
SACI_RS01800	129.4466403	158.4321476	127.7997365	58.95915679	46.16426962
SACI_RS01805	182.2672907	188.5075403	135.9854394	64.2225689	39.81306837
SACI_RS01820	252.8735632	334.1847595	234.3550447	72.3712218	29.6093106
leuS	126.1641188	170.5324196	126.866983	61.50061501	47.75420092
SACI_RS01830	57.9297246	105.8879392	65.05223172	26.59069326	38.77541437
SACI_RS01835	80.18867925	101.4150943	67.61006289	20.83333333	28.31936671
SACI_RS01855	66.37806638	55.55555556	25.97402597	18.03751804	38.05238039
SACI_RS01870	17.94871795	38.46153846	23.07692308	5.128205128	25.02480724
SACI_RS01875	114.1025641	144.5512821	124.3589744	63.46153846	57.29439272
SACI_RS01885	222.0319635	210.0456621	126.1415525	87.89954338	50.28905506
SACI_RS01895	979.4238683	1337.44856	985.5967078	456.7901235	45.1352117
SACI_RS01900	35.35353535	47.97979798	31.81818182	19.19191919	56.6526757
SACI_RS01905	26.66666667	26.66666667	15.33333333	11.33333333	53.60232067
SACI_RS01910	27.07006369	37.15498938	17.51592357	13.26963907	53.91832568
SACI_RS01915	22.35772358	24.3902439	11.17886179	10.16260163	58.88123987
cobM	80.82706767	112.1553885	95.86466165	46.9924812	56.77636487
SACI_RS01935	81.10119048	130.952381	125	47.61904762	49.61694133
cbiT	55.26770294	68.22107081	74.26597582	31.95164076	57.55353806
cbiD	41.54727794	78.7965616	58.73925501	27.69818529	55.78437234
SACI_RS01950	66.7989418	95.23809524	76.71957672	35.71428571	50.49223009
cbiG	34.76482618	44.47852761	35.78732106	14.82617587	41.74598743
SACI_RS01970	45.12635379	42.71961492	22.86401925	16.84717208	48.18124445
SACI_RS01985	1985.507246	2966.183575	2827.697262	1126.409018	50.26854881
SACI_RS01990	21.24183007	16.33986928	11.4379085	6.535947712	41.4882888
SACI_RS02000	106.741573	83.02122347	44.94382022	34.95630462	46.96788362
SACI_RS02055	47.80361757	73.64341085	29.71576227	20.67183463	44.35340046
SACI_RS02060	178.9340102	163.2825719	93.90862944	73.18104907	54.62827176
SACI_RS02070	93.05555556	123.2638889	69.09722222	26.73611111	30.77543272
SACI_RS02100	1309.064954	1429.336188	931.834404	188.4368308	20.82885112
SACI_RS02115	43.54094579	87.94694348	73.8177624	30.56516724	55.02359479
SACI_RS02385	98.8700565	90.39548023	40.96045198	24.01129944	33.07749904
SACI_RS02390	113.0742049	160.188457	88.92815077	48.29210836	42.77312339
SACI_RS02545	27.91068581	32.6953748	19.93620415	11.16427432	43.86529602
SACI_RS12170	183.5016835	213.8047138	126.2626263	87.54208754	55.29061405
SACI_RS02730	596.5517241	822.9885057	645.9770115	334.4827586	55.60337269
SACI_RS02735	737.7919321	1190.021231	1263.269639	491.507431	57.08094066
SACI_RS02740	703.875969	1107.751938	1089.147287	431.7829457	53.09085959
SACI_RS02785	339.3285372	564.7482014	552.7577938	227.8177458	57.68498443
SACI_RS02790	482.6086957	747.826087	743.4782609	223.1884058	38.72688528
SACI_RS02795	226.0273973	410.9589041	438.3561644	159.8173516	56.2751342
rpmC	521.4285714	747.6190476	635.7142857	297.6190476	53.98116536
SACI_RS02805	584.7701149	993.5344828	923.8505747	307.4712644	42.47680418
SACI_RS02810	601.910828	956.4755839	1021.231423	301.4861996	40.72807174
SACI_RS02815	395.9810875	588.6524823	452.7186761	230.4964539	55.53587316
SACI_RS02820	412.8312413	598.3263598	534.1701534	202.2315202	43.83227234
SACI_RS02825	40.16064257	104.4176707	58.23293173	28.1124498	50.81268058
rpl4p	315.2309613	490.0124844	324.5942572	186.6416979	57.43212883
ileS	288.7725975	420.8690136	324.9286394	122.7402474	38.91105465
SACI_RS02860	214.384509	329.8755187	239.2807746	79.52973721	33.79494678
SACI_RS02865	758.1300813	984.4173442	735.5465221	227.6422764	30.63020677
SACI_RS02875	589.9470899	554.2328042	362.4338624	206.3492063	42.77009411
SACI_RS02890	403.7558685	392.0187793	241.7840376	77.46478873	25.81346885
rrp42	422.3826715	501.8050542	359.8074609	75.21058965	22.54077705
rrp41	433.0601093	533.4699454	422.8142077	81.96721311	22.78642819
rrp4	244.6666667	298.6666667	266	65.33333333	28.03010618
SACI_RS02910	262.8205128	304.1310541	205.1282051	71.22507123	30.28335235
psmA	537.037037	457.4759945	360.7681756	95.33607682	24.90908209
SACI_RS02930	90.8045977	195.4022989	154.0229885	65.51724138	55.38802435
SACI_RS02935	609.3272171	641.4373089	336.3914373	201.0703364	39.51969452
SACI_RS02950	395.6228956	303.8720539	166.6666667	65.65656566	26.05219561
SACI_RS02975	89.85507246	134.7826087	56.52173913	39.13043478	45.0624601
SACI_RS02980	336.5384615	352.5641026	149.0384615	133.0128205	51.28799692
SACI_RS03025	23.80952381	12.82051282	10.98901099	7.326007326	49.89277299
SACI_RS03050	188.034188	170.9401709	62.67806268	37.74928775	29.56844939
SACI_RS03055	330.6451613	357.5268817	215.0537634	153.2258065	56.05183006
ahcY	162.6602564	200.7211538	102.5641026	44.47115385	31.03424861
SACI_RS03125	413.5180521	479.8488665	305.6255248	208.2283795	58.58358329
