Gene	Experiment	Gene_log2FoldChange	Gene_pvalue	asRNA_ids	asRNA_log2FoldChange	asRNA_pvalue
SACI_RS00045	DESeq2_65C_pH_2_4_stat	0.28	0.0832209405268365	asRNA_2, asRNA_3, asRNA_4	2.37, 2.67, 0.75	0.0270920744585174, 0.0056421173192275, 0.317795511973014
SACI_RS00045	DESeq2_65C_pH_3_5_log	-0.69	0.0021716750795818	asRNA_2, asRNA_3, asRNA_4	-1.03, 1.26, -2.4	0.590713549092789, 0.32798484555447, 0.154890692483981
SACI_RS00045	DESeq2_65C_pH_3_5_stat	0.62	0.0001738009073882	asRNA_2, asRNA_3, asRNA_4	1.41, 2.26, 0.33	0.196188826438657, 0.020141066314707, 0.66509361836399
SACI_RS00045	DESeq2_75C_pH_1_6_log	0.35	0.0337724967241515	asRNA_2, asRNA_3, asRNA_4	-1.01, -0.27, -1.16	0.450230744781113, 0.811658550783993, 0.194523379019245
SACI_RS00045	DESeq2_75C_pH_1_6_stat	0.95	6.3503297700623904e-09	asRNA_2, asRNA_3, asRNA_4	-0.3, -0.29, 0.33	0.810648547200819, 0.801132661306503, 0.673694843216814
SACI_RS00045	DESeq2_75C_pH_2_4_stat	0.66	5.97145202397213e-05	asRNA_2, asRNA_3, asRNA_4	-0.56, -0.63, -0.39	0.656214671755258, 0.595479697791555, 0.638551614456303
SACI_RS00045	DESeq2_75C_pH_3_5_log	0.45	0.0409969735385243	asRNA_2, asRNA_3, asRNA_4	-0.67, -0.11, 0.14	0.681925694065782, 0.936697579015754, 0.888562236129471
SACI_RS00045	DESeq2_75C_pH_3_5_stat	0.89	5.21262579887221e-08	asRNA_2, asRNA_3, asRNA_4	-0.55, 0.55, -0.56	0.666397651975433, 0.605463313386861, 0.504188886374693
SACI_RS00045	DESeq2_80C_pH_1_6_log	0.55	0.0008739333408669	asRNA_2, asRNA_3, asRNA_4	-0.12, -1.21, 0.13	0.921390562685429, 0.339773990293589, 0.868422701116318
SACI_RS00045	DESeq2_80C_pH_1_6_stat	0.71	1.50737663355052e-05	asRNA_2, asRNA_3, asRNA_4	-0.63, 1.01, -0.8	0.62286820394416, 0.329145701815997, 0.353874201826031
SACI_RS00045	DESeq2_80C_pH_2_4_log	0.47	0.004340991787749	asRNA_2, asRNA_3, asRNA_4	-0.31, 1.38, 0.27	0.79116412417642, 0.16498504946963, 0.72290340842554
SACI_RS00045	DESeq2_80C_pH_2_4_stat	0.47	0.0042644870296566	asRNA_2, asRNA_3, asRNA_4	-0.4, 0.7, 0.19	0.750208328267844, 0.512329857185094, 0.811588645039345
